team,path,distance
Holy Cross,Holy Cross->Northeastern->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,6
Binghamton,Binghamton->Lehigh->Texas State->Appalachian State->High Point->Wisconsin->Michigan,6
Mississippi Valley State,Mississippi Valley State->Texas Southern->Alabama State->UAB->High Point->Wisconsin->Michigan,6
Austin Peay,Austin Peay->Bellarmine->Houston Christian->New Orleans->TCU->Wisconsin->Michigan,6
Queens (NC),Queens (NC)->Bellarmine->Houston Christian->New Orleans->TCU->Wisconsin->Michigan,6
Prairie View A&M,Prairie View A&M->Southern->Northwestern State->New Orleans->TCU->Wisconsin->Michigan,6
Morgan State,Morgan State->Niagara->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,6
Coppin State,Coppin State->Delaware State->Longwood->Winthrop->High Point->Wisconsin->Michigan,6
VMI,VMI->Southern Indiana->Valparaiso->Southern Illinois->High Point->Wisconsin->Michigan,6
Bucknell,Bucknell->Delaware->Middle Tennessee->UAB->High Point->Wisconsin->Michigan,6
The Citadel,The Citadel->Western Carolina->UNC Asheville->Appalachian State->High Point->Wisconsin->Michigan,6
Florida Gulf Coast,Florida Gulf Coast->Rice->Wichita State->Oklahoma State->BYU->Wisconsin->Michigan,6
Howard,Howard->UNC Wilmington->Southeastern Louisiana->New Orleans->TCU->Wisconsin->Michigan,6
Le Moyne,Le Moyne->Niagara->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,6
UMass-Lowell,UMass-Lowell->Stonehill->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,6
Morehead State,Morehead State->Louisiana-Monroe->Old Dominion->Appalachian State->High Point->Wisconsin->Michigan,6
Norfolk State,Norfolk State->Jackson State->Alabama State->UAB->High Point->Wisconsin->Michigan,6
North Carolina Central,North Carolina Central->Maryland-Eastern Shore->Longwood->Winthrop->High Point->Wisconsin->Michigan,6
Boston University,Boston University->Northeastern->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,6
Stetson,Stetson->North Alabama->Northwestern State->New Orleans->TCU->Wisconsin->Michigan,6
Lafayette,Lafayette->Mercyhurst->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,6
Bryant,Bryant->Stonehill->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,6
Rider,Rider->Iona->Hofstra->Pitt->Ohio State->Wisconsin->Michigan,6
Tennessee Tech,Tennessee Tech->USC Upstate->Fresno State->New Orleans->TCU->Wisconsin->Michigan,6
Army,Army->Manhattan->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,6
Maine,Maine->Vermont->Pepperdine->New Orleans->TCU->Wisconsin->Michigan,6
Detroit Mercy,Detroit Mercy->IU Indianapolis->Eastern Michigan->Cincinnati->BYU->Wisconsin->Michigan,6
Cleveland State,Cleveland State->Radford->Longwood->Winthrop->High Point->Wisconsin->Michigan,6
Albany (NY),Albany (NY)->Stony Brook->Central Michigan->Appalachian State->High Point->Wisconsin->Michigan,6
Jacksonville,Jacksonville->North Alabama->Northwestern State->New Orleans->TCU->Wisconsin->Michigan,6
Gardner-Webb,Gardner-Webb->USC Upstate->Fresno State->New Orleans->TCU->Wisconsin->Michigan,6
Kansas City,Kansas City->Omaha->North Dakota->Winthrop->High Point->Wisconsin->Michigan,6
Saint Francis (PA),Saint Francis (PA)->FDU->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,6
Utah Tech,Utah Tech->Abilene Christian->Pepperdine->New Orleans->TCU->Wisconsin->Michigan,6
South Dakota,South Dakota->Western Michigan->Eastern Michigan->Cincinnati->BYU->Wisconsin->Michigan,6
Loyola (MD),Loyola (MD)->Stonehill->Central Connecticut->Rutgers->Oregon->Wisconsin->Michigan,6
Mount St. Mary's,Mount St. Mary's->Saint Peter's->Quinnipiac->Pitt->Ohio State->Wisconsin->Michigan,6
